Título,Precio de venta,Editor,Fecha de lanzamiento,Idioma,Subtítulos,Año,País,Duración,Calificación,Link
Pack: Top Gun + Top Gun Maverick (4K Ultra HD + Blu-Ray),"219,99 €",DIVISA RED S.A.,5 de diciembre de 2022,"Castellano
Inglés
Español De América
Francés
Alemán
Italiano","Castellano
Inglés
Danés
Finés
Francés
Español De América
Italiano
Neerlandés
Coreano
Alemán",1986,EEUU,240 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45811233-pack-top-gun--top-gun-maverick-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
John Wick (Otro día para matar) (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,30 de junio de 2023,"Castellano
Inglés",Castellano,2017,EEUU,101 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A47870742-john-wick-otro-dia-para-matar-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Trilogía El Hobbit Extendida (Blu-Ray),"59,95 €",Warner,11 de agosto de 2020,"Inglés, DTS HD Master Audio
Italiano, Dolby Digital 5,1
Castellano, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Alemán, DTS HD Master Audio","Italiano
Noruego
Ruso
Sueco
Castellano
Holandés
Francés
Islandés
Finlandés
Danés",,EEUU,182 min,,https://www.elcorteingles.es/cine/A36700978-trilogia-el-hobbit-extendida-blu-ray/?parentCategoryId=999.54220013&color=default
El conde de Montecristo (Blu-Ray),"18,95 €",,,,,,,,,https://www.elcorteingles.es/cine/A53276637-el-conde-de-montecristo-blu-ray/?parentCategoryId=999.54220013&color=default
Viuda Negra - Steelbook 4k UHD + Blu-ray,"38,69 €",DVD STORE,9 de enero de 2024,"Polaco
Checo
Italiano
Inglés
Castellano","Italiano
Castellano
Polaco
Checo",2021,EEUU,133,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A40727448-viuda-negra-steelbook-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default
El último hombre (Blu-Ray),"13,95 €",WARNER HBO,30 de abril de 2025,"Inglés, DTS HD Master Audio 5,1
Castellano, Dolby Digital 2",Castellano,1996,EEUU,100 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A55083328-el-ultimo-hombre-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Tierra Media (El Hobbit y El Señor de los Anillos) (4K Ultra HD + Blu-Ray),"299,95 €",Warner,29 de noviembre de 2021,",",,,,3419 min,,https://www.elcorteingles.es/cine/A41258734-pack-tierra-media-el-hobbit-y-el-senor-de-los-anillos-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Los Demonios de la Noche The Ghost And The Darkness,N/A,DVD STORE,9 de enero de 2024,"Italiano
Francés
Alemán
Portugués
Inglés
Castellano
Español","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1996,EEUU,120,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A48220580-los-demonios-de-la-noche-the-ghost-and-the-darkness/?parentCategoryId=999.54220013&color=default
La Cima De Los Heroes (Blu-Ray) (Pork Chop Hill),N/A,,7 de diciembre de 2017,"Castellano
Castellano",Español,,España,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0008858_8436548869007-la-cima-de-los-heroes-blu-ray-pork-chop-hill/?parentCategoryId=999.54220013&color=default
Los Tres Mosqueteros BD 1948 The Three Musketeers,"13,69 €",DVD STORE,,"Castellano
Italiano
Alemán
Francés
Inglés","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1948,EEUU,126,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A43545533-los-tres-mosqueteros-bd-1948-the-three-musketeers/?parentCategoryId=999.54220013&color=default
Turbulencia Abróchense los Cinturones BD 1996 Turbulence,"16,53 €",DVD STORE,9 de enero de 2024,"Alemán
Francés
Italiano
Castellano
Inglés","Francés
Italiano
Portugués
Castellano
Inglés",1996,EEUU,100,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A44622658-turbulencia-abrochense-los-cinturones-bd-1996-turbulence/?parentCategoryId=999.54220013&color=default
Gladiator II (Edición Metálica Coleccionista 1) (4K Ultra HD + Blu-Ray),"34,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115750-gladiator-ii-edicion-metalica-coleccionista-1-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Robin Hood (Edición 2025) (4K Ultra HD + Blu-Ray),"21,95 €",UNIVERSAL,30 de abril de 2025,"Inglés, DTS Master Audio
Castellano, Digital Surround",Castellano,2010,EEUU,141 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A55083307-robin-hood-edicion-2025-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Herida Abierta BD 2001 Exit Wounds,N/A,DVD STORE,,"Español
Inglés",,2001,EEUU,102,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A34973762-herida-abierta-bd-2001-exit-wounds/?parentCategoryId=999.54220013&color=default
Barcelona 1714,"6,19 €",DVD STORE,9 de enero de 2024,Castellano,"Español
Inglés",2019,España,119,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A33181666-barcelona-1714/?parentCategoryId=999.54220013&color=default
Invicto BD 2002 Undisputed,"13,69 €",DVD STORE,9 de enero de 2024,"Español
Inglés","Español
Inglés",2002,EEUU,93,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A38877081-invicto-bd-2002-undisputed/?parentCategoryId=999.54220013&color=default
Far Cry (Blu-Ray + Dvd),N/A,,7 de diciembre de 2017,Francés,Español,,España,,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/MP_0008858_8436533825414-far-cry-blu-ray--dvd/?parentCategoryId=999.54220013&color=default
Free Guy - Steelbook,"27,44 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés
Polaco
Checo
Italiano","Italiano
Castellano
Polaco
Inglés
Checo",2020,EEUU,115,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A41258740-free-guy-steelbook/?parentCategoryId=999.54220013&color=default
Los Mercenarios (DVD),12 €,"SAVOR EDICIONES, S.A.",2 de noviembre de 2016,Castellano,Castellano,,,72,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0000572_cine6609-los-mercenarios-dvd/?parentCategoryId=999.54220013&color=default
El profesional (Léon) (Edición Especial Funda) (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,10 de diciembre de 2024,"Castellano, DTS HD Master Audio 2
Inglés, Dolby Atmos",Castellano,1994,Francia,133 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A53553942-el-profesional-leon-edicion-especial-funda-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Liga de la justicia (4K Ultra HD + Blu-Ray),"19,95 €",Warner,16 de marzo de 2018,"Castellano, Dolby Digital 5,1
Inglés, DTS HD Master Audio 5,1, Dolby TrueHD, Dolby Digital 5,1
Portugués, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Italiano, DTS HD Master Audio 5,1","Castellano
Noruego
Italiano
Polaco
Francés",2017,EEUU,120 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A24811228-liga-de-la-justicia-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
John Wick 3 Parabellum (4K Ultra HD + Blu-ray),"25,99 €",EONE,13 de diciembre de 2019,"Inglés, DTS-HD 7,1
Castellano, DTS HD Master Audio 5,1",Castellano,2019,EEUU,117 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A32860524-john-wick-3-parabellum-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Parque Jurásico; Películas 1-5 (Blu-Ray),"39,99 €",UNIVERSAL,3 de octubre de 2018,"Castellano, DTS HD Master Audio 5,1
,
Catalán, DTS HD Master Audio 5,1
Francés, DTS HD Master Audio 5,1
,
Inglés, DTS HD Master Audio 5,1","Inglés
Castellano
Catalán
Danés
Holandés
Finés
Francés
Griego",2018,EEUU,129 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A27349460-parque-jurasico-peliculas-1-5-blu-ray/?parentCategoryId=999.54220013&color=default
Noé (Blu-Ray),"12,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, Dolby Digital 5,1
Inglés, DTS-HD 7,1
Alemán, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Inglés, Audio Descriptivo","Castellano
Inglés
Alemán
Danés
Finés
Francés
Italiano
Neerlandés
Noruego
Sueco",2014,EEUU,137 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A54961761-noe-blu-ray/?parentCategoryId=999.54220013&color=default
Templario II: Batalla por la sangre 2014 Ironclad: Battle for Blood,"4,94 €",DVD STORE,9 de enero de 2024,"Inglés
Castellano",Castellano,2014,Reino Unido,108,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A16734181-templario-ii-batalla-por-la-sangre-2014-ironclad-battle-for-blood/?parentCategoryId=999.54220013&color=default
Los Últimos Días del Edén BD 1992 The Medicine Man,"13,69 €",DVD STORE,,Español,,1992,EEUU,105,Para todos los públicos,https://www.elcorteingles.es/cine/A30233255-los-ultimos-dias-del-eden-bd-1992-the-medicine-man/?parentCategoryId=999.54220013&color=default
Cristóbal Colón: El Descubrimiento BD 1992 Christopher Columbus: The Discovery,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Alemán
Inglés","Portugués
Castellano",1992,Reino Unido,116,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A37758303-cristobal-colon-el-descubrimiento-bd-1992-christopher-columbus-the-discovery/?parentCategoryId=999.54220013&color=default
Los Inmortales III. El Hechicero,"13,69 €",DVD STORE,,"Español
Inglés","Español
Alemán
Inglés",1994,Reino Unido,99,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A32182035-los-inmortales-iii-el-hechicero/?parentCategoryId=999.54220013&color=default
A Sangre Fría BD 2019 Cold Blood Legacy,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2019,Francia,91,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45983960-a-sangre-fria-bd-2019-cold-blood-legacy/?parentCategoryId=999.54220013&color=default
Los Invasores BLU-RAY 1963 The Long Ships,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Italiano
Alemán
Francés
Inglés","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1963,Reino Unido,126,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A46616026-los-invasores-blu-ray-1963-the-long-ships/?parentCategoryId=999.54220013&color=default
Lobos del Norte Spawn Of The North,"6,19 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés",Castellano,1938,EEUU,110,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A20907883-lobos-del-norte-spawn-of-the-north/?parentCategoryId=999.54220013&color=default
Águila de Acero III BD 1992 Aces: Iron Eagle III,N/A,DVD STORE,9 de enero de 2024,Español,"Español
Alemán
Portugués
Inglés",1992,EEUU,99,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A44447634-aguila-de-acero-iii-bd-1992-aces-iron-eagle-iii/?parentCategoryId=999.54220013&color=default
VALKIRIA (DVD),N/A,,1 de mayo de 2016,"Inglés
Inglés
Inglés",Español,,,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0008555_8435153659904-valkiria-dvd/?parentCategoryId=999.54220013&color=default
Deep Rising Deep Rising,"15,70 €",DVD STORE,9 de enero de 2024,"Castellano
Catalán
Inglés","Castellano
Inglés",1998,EEUU,105,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A34930561-deep-rising-deep-rising/?parentCategoryId=999.54220013&color=default
Colorado Jim BD 1953 The Naked Spur,N/A,DVD STORE,9 de enero de 2024,"Castellano
Inglés","Alemán
Portugués
Castellano
Inglés",1953,EEUU,91,Para todos los públicos,https://www.elcorteingles.es/cine/A42260076-colorado-jim-bd-1953-the-naked-spur/?parentCategoryId=999.54220013&color=default
Caza Humana BD 2013 Killing Season,"16,53 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2013,Bélgica,91,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45397920-caza-humana-bd-2013-killing-season/?parentCategoryId=999.54220013&color=default
Soldado Silent Trigger,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés
Alemán","Castellano
Alemán
Inglés
Español",1996,Canadá,135,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A41463526-soldado-silent-trigger/?parentCategoryId=999.54220013&color=default
Ip Man BLU RAY Edición Especial Numerada y Limitada con Funda y 8 Postales 2008,N/A,DVD STORE,9 de enero de 2024,Español,"Español
Portugués
Inglés",2008,Hong-Kong,106,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A36884300-ip-man-blu-ray-edicion-especial-numerada-y-limitada-con-funda-y-8-postales-2008/?parentCategoryId=999.54220013&color=default
Blue Jean Cop BD 1988,13 €,DVD STORE,9 de enero de 2024,Español,,1988,EEUU,96,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A37926047-blue-jean-cop-bd-1988/?parentCategoryId=999.54220013&color=default
X-Men Fénix Oscura - Steelbook lenticular,"37,44 €",DVD STORE,9 de enero de 2024,"Italiano
Castellano
Alemán
Francés
Chino
Tailandés
Polaco
Castellano
Húngaro","Danés
Holandés
Finlandés
Francés
Alemán
Italiano
Noruego
Sueco
Castellano",2019,EEUU,113,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A39479683-x-men-fenix-oscura-steelbook-lenticular/?parentCategoryId=999.54220013&color=default
Vikingos - La saga de las Nuevas Tierras,N/A,DVD STORE,,Castellano,Inglés,2019,Canadá,50,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0000572_45355-vikingos-la-saga-de-las-nuevas-tierras/?parentCategoryId=999.54220013&color=default
BRICK MANSIONS,"11,19 €",DVD STORE,9 de enero de 2024,"Castellano
Catalán","Español
Catalán",2014,Francia,89,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A16747046-brick-mansions/?parentCategoryId=999.54220013&color=default
Dick Tracy,N/A,,7 de diciembre de 2017,"Castellano
Castellano",Español,,España,,,https://www.elcorteingles.es/cine/MP_0008858_8436022323711-dick-tracy/?parentCategoryId=999.54220013&color=default
Bd Steelbook El Cascanueces Y Los Cuatro Reinos,N/A,DVD STORE,9 de enero de 2024,Francés,,2018,EEUU,99,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A29658046-bd-steelbook-el-cascanueces-y-los-cuatro-reinos/?parentCategoryId=999.54220013&color=default
Juego de ladrones. El atraco perfecto,"7,44 €",DVD STORE,9 de enero de 2024,Castellano,Español,2017,EEUU,140,Para todos los públicos,https://www.elcorteingles.es/cine/A27262998-juego-de-ladrones-el-atraco-perfecto/?parentCategoryId=999.54220013&color=default
Operacion : Soldados De Juguete (Toy Soldiers),N/A,,7 de diciembre de 2017,"Castellano
Castellano",,,España,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A18538965-operacion--soldados-de-juguete-toy-soldiers/?parentCategoryId=999.54220013&color=default
Algodon En Harlem (Blu-Ray) (Bd-R) (Cotton Comes To Harlem),N/A,,7 de diciembre de 2017,"Castellano
Castellano",Español,,España,,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0008858_8436022326491-algodon-en-harlem-blu-ray-bd-r-cotton-comes-to-harlem/?parentCategoryId=999.54220013&color=default
Arrow Temporada 6,"33,40 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Español
Danés
Alemán
Noruego
Sueco",2017,EEUU,928,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A27815629-arrow-temporada-6/?parentCategoryId=999.54220013&color=default
En El Corazon De La Tierra (Blu-Ray) (At The Earth'S Core),N/A,,6 de abril de 2025,"Castellano
Castellano",Español,,España,,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0008858_8436548868949-en-el-corazon-de-la-tierra-blu-ray-at-the-earths-core/?parentCategoryId=999.54220013&color=default
Deadpool 2 - Steelbook lenticular,N/A,DVD STORE,,"Alemán
Francés
Castellano
Italiano
Japonés
Polaco
Checo","Danés
Holandés
Finlandés
Francés
Alemán
Italiano
Noruego
Castellano
Japonés",2018,EEUU,119,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A39479680-deadpool-2-steelbook-lenticular/?parentCategoryId=999.54220013&color=default
Los Intocables - Vol. 2 (The Untouchables),"21,19 €",,7 de diciembre de 2017,"Castellano
Castellano
Castellano
Castellano","Griego
Griego
Griego
Griego
Griego
Griego
Griego
Griego
Griego",,España,,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0008858_8436022323179-los-intocables-vol-2-the-untouchables/?parentCategoryId=999.54220013&color=default
211 Blu Ray 2018,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2018,EEUU,86,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A43691690-211-blu-ray-2018/?parentCategoryId=999.54220013&color=default
Ciudad en Llamas BD 1979 City on Fire,"15,70 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés",Castellano,1979,Canadá,106,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A41270707-ciudad-en-llamas-bd-1979-city-on-fire/?parentCategoryId=999.54220013&color=default
Águila de Acero BLU RAY 1986 Iron Eagle,"13,69 €",DVD STORE,9 de enero de 2024,"Español
Español","Español
Francés
Alemán
Inglés",1986,EEUU,116,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A36884299-aguila-de-acero-blu-ray-1986-iron-eagle/?parentCategoryId=999.54220013&color=default
Misión imposible 7: Sentencia mortal (Edición Metálica) (4K Ultra HD + Blu-Ray),"31,99 €",DIVISA RED S.A.,31 de octubre de 2023,",",,1996,EEUU,163,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A49168620-mision-imposible-7-sentencia-mortal-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 3: la película (Blu-Ray),"19,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, DTS-Surround 5,1
Alemán, DTS-Surround 5,1
Checo, DTS-Surround 5,1
Chino, DTS-Surround 5,1
Italiano, DTS-Surround 5,1
Japonés, DTS-Surround 5,1
Polaco, DTS-Surround 5,1
Inglés, Dolby Atmos","Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco",2024,EEUU,110 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A54961735-sonic-3-la-pelicula-blu-ray/?parentCategoryId=999.54220013&color=default
Los juegos del hambre. Balada de pájaros cantores y serpientes (DVD),"16,95 €",,,,,,,,,https://www.elcorteingles.es/cine/A50750744-los-juegos-del-hambre-balada-de-pajaros-cantores-y-serpientes-dvd/?parentCategoryId=999.54220013&color=default
Pack Trilogía El Señor de los Anillos (Edición Extendida Remasterizada) (Blu-Ray + DVD),"59,95 €",Warner,20 de abril de 2022,"Castellano, DTS HD Master Audio 5,1
Inglés, Dolby TrueHD",Castellano,2001,Nueva Zelanda,725 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A43086683-pack-trilogia-el-senor-de-los-anillos-edicion-extendida-remasterizada-blu-ray--dvd/?parentCategoryId=999.54220013&color=default
El conde de Montecristo (DVD),N/A,,,,,,,,,https://www.elcorteingles.es/cine/A53276635-el-conde-de-montecristo-dvd/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (4K Ultra HD + Blu-Ray),"26,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, DTS-Surround 5,1
Inglés, DTS-HD 7,1
Japonés, Dolby Digital Plus 7,1
Español De América, Dolby Digital Plus 7,1
Inglés, Audio Descriptivo
Japonés, Audio Descriptivo","Castellano
Japonés
Español De América",2024,EEUU,118 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670018-mufasa-el-rey-leon-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Indiana Jones: 4-Movie Collection (5 Blu-Ray),"39,99 €",DIVISA RED S. A.,11 de octubre de 2021,"Castellano
Inglés
Francés
Alemán
Japonés
Italiano","Castellano
Inglés
Francés
Alemán
Neerlandés
Japonés
Italiano",1981,EEUU,478 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A41219239-indiana-jones-4-movie-collection-5-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Los tres mosqueteros 1-2 (Blu-Ray),"25,95 €",DEAPLANETA,29 de mayo de 2024,"Castellano, DTS HD Master Audio 5,1
Francés, DTS HD Master Audio 5,1",Castellano,2023,Francia,225 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A51465988-pack-los-tres-mosqueteros-1-2-blu-ray/?parentCategoryId=999.54220013&color=default
La selva esmeralda (Blu-Ray),"14,99 €",DIVISA RED S.A.,12 de febrero de 2025,"Castellano, Mono
Inglés, Mono",Castellano,1985,Reino Unido,114 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54318126-la-selva-esmeralda-blu-ray/?parentCategoryId=999.54220013&color=default
Alerta máxima 1-2 (Blu-Ray),"24,95 €",WARNER HBO,30 de abril de 2025,"Inglés, Dolby Digital 5,1
Castellano, Dolby Digital 5,1",Castellano,1992,EEUU,203 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A55083320-alerta-maxima-1-2-blu-ray/?parentCategoryId=999.54220013&color=default
Pack Harry el sucio 1-5 (Blu-Ray),"39,95 €",Warner,24 de abril de 2024,"Castellano, Dolby Digital 1
Inglés, Dolby TrueHD",Castellano,1971,EEUU,531 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A51102152-pack-harry-el-sucio-1-5-blu-ray/?parentCategoryId=999.54220013&color=default
