Título,Precio de venta,Editor,Fecha de lanzamiento,Idioma,Subtítulos,Año,País,Duración,Calificación,Link
Gladiator II (Blu-Ray),"19,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Digital 5,1
Checo, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Japonés, Dolby Digital 5,1
Tailandés, Dolby Digital 5,1","Castellano
Inglés
Alemán
Checo
Chino
Danés
Finés
Francés
Japonés
Italiano",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115753-gladiator-ii-blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 3: La película (Edición Metálica Shadow) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, DTS-Surround 5,1
Alemán, DTS-Surround 5,1
Checo, DTS-Surround 5,1
Chino, DTS-Surround 5,1
Italiano, DTS-Surround 5,1
Japonés, DTS-Surround 5,1
Polaco, DTS-Surround 5,1
Inglés, Dolby Atmos","Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco",2024,EEUU,110 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A54961733-sonic-3-la-pelicula-edicion-metalica-shadow-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (Edición Metálica) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, DTS-Surround 5,1
Inglés, DTS-HD 7,1
Japonés, Dolby Digital Plus 7,1
Español De América, Dolby Digital Plus 7,1
Inglés, Audio Descriptivo
Japonés, Audio Descriptivo","Castellano
Japonés
Español De América",2024,EEUU,118 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670017-mufasa-el-rey-leon-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Gladiator II (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1
Inglés, Audio Descriptivo","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115752-gladiator-ii-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (DVD),"17,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Inglés, Audio Descriptivo","Castellano
Italiano",2024,EEUU,113 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670025-mufasa-el-rey-leon-dvd/?parentCategoryId=999.54220013&color=default
Gladiator II (Edición Metálica Coleccionista 2) (4K Ultra HD + Blu-Ray),"34,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115751-gladiator-ii-edicion-metalica-coleccionista-2-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Furiosa: De la saga Mad Max (4K Ultra HD + Blu-Ray),"24,95 €",Warner,28 de agosto de 2024,"Castellano, Dolby Atmos
Inglés, Dolby Atmos",Castellano,2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A52641409-furiosa-de-la-saga-mad-max-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 3: La película (Edición Metálica Sonic) (4K Ultra HD + Blu-Ray),"32,99 €",DIVISA RED S.A.,14 de abril de 2025,"Castellano, DTS-Surround 5,1
Alemán, DTS-Surround 5,1
Checo, DTS-Surround 5,1
Chino, DTS-Surround 5,1
Italiano, DTS-Surround 5,1
Japonés, DTS-Surround 5,1
Polaco, DTS-Surround 5,1
Inglés, Dolby Atmos","Castellano
Inglés
Alemán
Checo
Italiano
Chino
Eslovaco
Japonés
Polaco
Turco",2024,EEUU,110 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A54961730-sonic-3-la-pelicula-edicion-metalica-sonic-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
John Wick (Otro día para matar) (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,30 de junio de 2023,"Castellano
Inglés",Castellano,2017,EEUU,101 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A47870742-john-wick-otro-dia-para-matar-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Mufasa: El rey león (Blu-Ray),"21,99 €",DIVISA RED S.A.,31 de marzo de 2025,"Castellano, DTS-Surround 5,1
Inglés, DTS-HD 7,1",Castellano,2024,EEUU,118 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54670022-mufasa-el-rey-leon-blu-ray/?parentCategoryId=999.54220013&color=default
La selva esmeralda (Blu-Ray),"14,99 €",DIVISA RED S.A.,12 de febrero de 2025,"Castellano, Mono
Inglés, Mono",Castellano,1985,Reino Unido,114 min,Para todos los públicos,https://www.elcorteingles.es/cine/A54318126-la-selva-esmeralda-blu-ray/?parentCategoryId=999.54220013&color=default
Pack: Top Gun + Top Gun Maverick (4K Ultra HD + Blu-Ray),"219,99 €",DIVISA RED S.A.,5 de diciembre de 2022,"Castellano
Inglés
Español De América
Francés
Alemán
Italiano","Castellano
Inglés
Danés
Finés
Francés
Español De América
Italiano
Neerlandés
Coreano
Alemán",1986,EEUU,240 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45811233-pack-top-gun--top-gun-maverick-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Pack Tierra Media (El Hobbit y El Señor de los Anillos) (4K Ultra HD + Blu-Ray),"299,95 €",Warner,29 de noviembre de 2021,",",,,,3419 min,,https://www.elcorteingles.es/cine/A41258734-pack-tierra-media-el-hobbit-y-el-senor-de-los-anillos-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
El conde de Montecristo (Blu-Ray),"18,95 €",,,,,,,,,https://www.elcorteingles.es/cine/A53276637-el-conde-de-montecristo-blu-ray/?parentCategoryId=999.54220013&color=default
Trilogía El Hobbit Extendida (Blu-Ray),"59,95 €",Warner,11 de agosto de 2020,"Inglés, DTS HD Master Audio
Italiano, Dolby Digital 5,1
Castellano, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Alemán, DTS HD Master Audio","Italiano
Noruego
Ruso
Sueco
Castellano
Holandés
Francés
Islandés
Finlandés
Danés",,EEUU,182 min,,https://www.elcorteingles.es/cine/A36700978-trilogia-el-hobbit-extendida-blu-ray/?parentCategoryId=999.54220013&color=default
Gladiator II (DVD),"17,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Inglés, Dolby Digital 5,1
Alemán, Dolby Digital 5,1","Castellano
Catalán
Inglés
Alemán
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115749-gladiator-ii-dvd/?parentCategoryId=999.54220013&color=default
Pack Bad Boys 1-4 (4K Ultra HD + Blu-Ray),"79,94 €",SONY PICTURES HOME ENTERTAINMENT,25 de septiembre de 2024,"Inglés, Dolby Atmos
Castellano, DTS HD Master Audio 5,1",Castellano,2024,EEUU,505 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A52766443-pack-bad-boys-1-4-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
El último hombre (Blu-Ray),"13,95 €",WARNER HBO,30 de abril de 2025,"Inglés, DTS HD Master Audio 5,1
Castellano, Dolby Digital 2",Castellano,1996,EEUU,100 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A55083328-el-ultimo-hombre-blu-ray/?parentCategoryId=999.54220013&color=default
Viuda Negra - Steelbook 4k UHD + Blu-ray,"38,69 €",DVD STORE,9 de enero de 2024,"Polaco
Checo
Italiano
Inglés
Castellano","Italiano
Castellano
Polaco
Checo",2021,EEUU,133,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A40727448-viuda-negra-steelbook-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default
Predator (4K Ultra HD + Blu-Ray),"19,99 €",FOX,3 de septiembre de 2018,"Castellano, DTS 5,1
Inglés, DTS HD Master Audio 5,1
Alemán, DTS 5,1
Italiano, DTS 5,1
Francés, DTS 5,1","Castellano
Inglés
Alemán
Francés",1987,EEUU,107 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A27419091-predator-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
El profesional (Léon) (Edición Especial Funda) (4K Ultra HD + Blu-Ray),"25,99 €",DIVISA RED S.A.,10 de diciembre de 2024,"Castellano, DTS HD Master Audio 2
Inglés, Dolby Atmos",Castellano,1994,Francia,133 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A53553942-el-profesional-leon-edicion-especial-funda-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Pack Trilogía El Señor de los Anillos (Edición Extendida Remasterizada) (Blu-Ray + DVD),"59,95 €",Warner,20 de abril de 2022,"Castellano, DTS HD Master Audio 5,1
Inglés, Dolby TrueHD",Castellano,2001,Nueva Zelanda,725 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A43086683-pack-trilogia-el-senor-de-los-anillos-edicion-extendida-remasterizada-blu-ray--dvd/?parentCategoryId=999.54220013&color=default
Los Tres Mosqueteros BD 1948 The Three Musketeers,"13,69 €",DVD STORE,,"Castellano
Italiano
Alemán
Francés
Inglés","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1948,EEUU,126,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A43545533-los-tres-mosqueteros-bd-1948-the-three-musketeers/?parentCategoryId=999.54220013&color=default
Turbulencia Abróchense los Cinturones BD 1996 Turbulence,"16,53 €",DVD STORE,9 de enero de 2024,"Alemán
Francés
Italiano
Castellano
Inglés","Francés
Italiano
Portugués
Castellano
Inglés",1996,EEUU,100,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A44622658-turbulencia-abrochense-los-cinturones-bd-1996-turbulence/?parentCategoryId=999.54220013&color=default
Los Demonios de la Noche The Ghost And The Darkness,"14,94 €",DVD STORE,9 de enero de 2024,"Italiano
Francés
Alemán
Portugués
Inglés
Castellano
Español","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1996,EEUU,120,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A48220580-los-demonios-de-la-noche-the-ghost-and-the-darkness/?parentCategoryId=999.54220013&color=default
La Cima De Los Heroes (Blu-Ray) (Pork Chop Hill),N/A,,7 de diciembre de 2017,"Castellano
Castellano",Español,,España,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0008858_8436548869007-la-cima-de-los-heroes-blu-ray-pork-chop-hill/?parentCategoryId=999.54220013&color=default
Misión imposible 7: Sentencia mortal (Edición Metálica) (4K Ultra HD + Blu-Ray),"31,99 €",DIVISA RED S.A.,31 de octubre de 2023,",",,1996,EEUU,163,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A49168620-mision-imposible-7-sentencia-mortal-edicion-metalica-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Gladiator II (Edición Metálica Coleccionista 1) (4K Ultra HD + Blu-Ray),"34,99 €",DIVISA RED S.A.,4 de marzo de 2025,"Castellano, Dolby Digital 5,1
Catalán, Dolby Digital 5,1
Inglés, Dolby Atmos
Alemán, Dolby Atmos
Checo, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Polaco, Dolby Digital 5,1","Castellano
Catalán
Inglés
Alemán
Checo
Eslovaco
Italiano
Polaco
Turco",2024,EEUU,148 min,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A54115750-gladiator-ii-edicion-metalica-coleccionista-1-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Sonic 2: La Película (Blu-Ray),"12,99 €",DIVISA RED S. A.,9 de agosto de 2022,",",,2022,EEUU,122 min,,https://www.elcorteingles.es/cine/A44257503-sonic-2-la-pelicula-blu-ray/?parentCategoryId=999.54220013&color=default
Excalibur 30 Aniversario (Blu-Ray),"11,95 €",Warner Bros Entertainment,15 de febrero de 2011,",",,Wed Mar 16 00:00:00 CET 2011,EEUU,140 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A3865379-excalibur-30-aniversario-blu-ray/?parentCategoryId=999.54220013&color=default
A Sangre Fría BD 2019 Cold Blood Legacy,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2019,Francia,91,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45983960-a-sangre-fria-bd-2019-cold-blood-legacy/?parentCategoryId=999.54220013&color=default
Mortal Kombat - Steelbook 4k UHD + Blu-ray,"37,44 €",DVD STORE,9 de enero de 2024,"Alemán
Castellano
Polaco
Checo
Tamil
Inglés
Hindi
Telgu
Alemán","Danés
Noruego
Sueco
Griego
Castellano
Polaco
Checo
Húngaro
Rumano",2021,EEUU,110,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A39963847-mortal-kombat-steelbook-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default
Far Cry (Blu-Ray + Dvd),N/A,,7 de diciembre de 2017,Francés,Español,,España,,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/MP_0008858_8436533825414-far-cry-blu-ray--dvd/?parentCategoryId=999.54220013&color=default
Free Guy - Steelbook,"27,44 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés
Polaco
Checo
Italiano","Italiano
Castellano
Polaco
Inglés
Checo",2020,EEUU,115,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A41258740-free-guy-steelbook/?parentCategoryId=999.54220013&color=default
Herida Abierta BD 2001 Exit Wounds,"13,69 €",DVD STORE,,"Español
Inglés",,2001,EEUU,102,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A34973762-herida-abierta-bd-2001-exit-wounds/?parentCategoryId=999.54220013&color=default
Barcelona 1714,"6,19 €",DVD STORE,9 de enero de 2024,Castellano,"Español
Inglés",2019,España,119,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A33181666-barcelona-1714/?parentCategoryId=999.54220013&color=default
Invicto BD 2002 Undisputed,"13,69 €",DVD STORE,9 de enero de 2024,"Español
Inglés","Español
Inglés",2002,EEUU,93,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A38877081-invicto-bd-2002-undisputed/?parentCategoryId=999.54220013&color=default
Bailando con Lobos BD + DVD Edición Metálica Limitada+ 8 Postales 1990 Dance With Wolves,26 €,DVD STORE,9 de enero de 2024,Castellano,"Castellano
Inglés",1990,EEUU,180,Para todos los públicos,https://www.elcorteingles.es/cine/A33303083-bailando-con-lobos-bd--dvd-edicion-metalica-limitada-8-postales-1990-dance-with-wolves/?parentCategoryId=999.54220013&color=default
El Guateque (Blu-Ray) (The Party),N/A,,13 de abril de 2018,"Castellano
Castellano",Español,,España,,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0008858_8436548869892-el-guateque-blu-ray-the-party/?parentCategoryId=999.54220013&color=default
Colorado Jim BD 1953 The Naked Spur,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Alemán
Portugués
Castellano
Inglés",1953,EEUU,91,Para todos los públicos,https://www.elcorteingles.es/cine/A42260076-colorado-jim-bd-1953-the-naked-spur/?parentCategoryId=999.54220013&color=default
Hindenburg BDr 1975,"9,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés
Alemán","Alemán
Portugués
Castellano
Inglés",1975,EEUU,125,Para todos los públicos,https://www.elcorteingles.es/cine/A47163340-hindenburg-bdr-1975/?parentCategoryId=999.54220013&color=default
Los Mercenarios (DVD),N/A,"SAVOR EDICIONES, S.A.",2 de noviembre de 2016,Castellano,Castellano,,,72,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/MP_0000572_cine6609-los-mercenarios-dvd/?parentCategoryId=999.54220013&color=default
Pack Los tres mosqueteros 1-2 (Blu-Ray),"25,95 €",DEAPLANETA,29 de mayo de 2024,"Castellano, DTS HD Master Audio 5,1
Francés, DTS HD Master Audio 5,1",Castellano,2023,Francia,225 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A51465988-pack-los-tres-mosqueteros-1-2-blu-ray/?parentCategoryId=999.54220013&color=default
El Guerrero Americano BD 1985 American Ninja,16 €,DVD STORE,9 de enero de 2024,"Inglés
Castellano","Portugués
Castellano",1985,EEUU,95,Para todos los públicos,https://www.elcorteingles.es/cine/A47163341-el-guerrero-americano-bd-1985-american-ninja/?parentCategoryId=999.54220013&color=default
Parque Jurásico; Películas 1-5 (Blu-Ray),"39,99 €",UNIVERSAL,3 de octubre de 2018,"Castellano, DTS HD Master Audio 5,1
,
Catalán, DTS HD Master Audio 5,1
Francés, DTS HD Master Audio 5,1
,
Inglés, DTS HD Master Audio 5,1","Inglés
Castellano
Catalán
Danés
Holandés
Finés
Francés
Griego",2018,EEUU,129 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A27349460-parque-jurasico-peliculas-1-5-blu-ray/?parentCategoryId=999.54220013&color=default
Robin Hood (Edición 2025) (4K Ultra HD + Blu-Ray),"21,95 €",UNIVERSAL,30 de abril de 2025,"Inglés, DTS Master Audio
Castellano, Digital Surround",Castellano,2010,EEUU,141 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A55083307-robin-hood-edicion-2025-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Los juegos del hambre. Balada de pájaros cantores y serpientes (Blu-Ray),"21,95 €",VERTICE 360,12 de marzo de 2024,"Inglés, DTS HD Master Audio 5,1
Castellano, DTS HD Master Audio 5,1",Castellano,2023,EEUU,157 min,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A50750761-los-juegos-del-hambre-balada-de-pajaros-cantores-y-serpientes-blu-ray/?parentCategoryId=999.54220013&color=default
Liga de la justicia (4K Ultra HD + Blu-Ray),"19,95 €",Warner,16 de marzo de 2018,"Castellano, Dolby Digital 5,1
Inglés, DTS HD Master Audio 5,1, Dolby TrueHD, Dolby Digital 5,1
Portugués, Dolby Digital 5,1
Francés, Dolby Digital 5,1
Italiano, DTS HD Master Audio 5,1","Castellano
Noruego
Italiano
Polaco
Francés",2017,EEUU,120 min,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A24811228-liga-de-la-justicia-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Blade (Blu-Ray),"11,95 €",Warner,17 de julio de 2012,"Inglés, DTS HD Master Audio, 6
Castellano, DTS HD Master Audio, 6
Español De América, DTS HD Master Audio, 6
Portugués, DTS HD Master Audio, 6
Italiano, DTS HD Master Audio, 6
Alemán, DTS HD Master Audio, 6
Ruso, DTS HD Master Audio, 6
Checo, DTS HD Master Audio, 6","Castellano
Español De América
Francés
Portugués
Finlandés
Holandés
Checo
Ruso",1998,,120 min,,https://www.elcorteingles.es/cine/A6809030-blade-blu-ray/?parentCategoryId=999.54220013&color=default
Matrix (4K UHD + Blu-Ray),"19,95 €",Warner,7 de octubre de 2020,"Inglés, DTS HD Master Audio 5,1
Castellano, Dolby Digital 5,1
Alemán, Dolby Digital 5,1
Italiano, Dolby Digital 5,1
Francés, Dolby Digital 5,1","Castellano
Francés
Portugués",,EEUU,136 min,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A37243670-matrix-4k-uhd--blu-ray/?parentCategoryId=999.54220013&color=default
El Guerrero Americano 3 1989 BDr American Ninja 3: Blood Huntaka,17 €,DVD STORE,9 de enero de 2024,Español,"Español
Portugués",1989,EEUU,90,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A42260073-el-guerrero-americano-3-1989-bdr-american-ninja-3-blood-huntaka/?parentCategoryId=999.54220013&color=default
John Wick 3 Parabellum (4K Ultra HD + Blu-ray),"25,99 €",EONE,13 de diciembre de 2019,"Inglés, DTS-HD 7,1
Castellano, DTS HD Master Audio 5,1",Castellano,2019,EEUU,117 min,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A32860524-john-wick-3-parabellum-4k-ultra-hd--blu-ray/?parentCategoryId=999.54220013&color=default
Templario II: Batalla por la sangre 2014 Ironclad: Battle for Blood,"4,94 €",DVD STORE,9 de enero de 2024,"Inglés
Castellano",Castellano,2014,Reino Unido,108,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A16734181-templario-ii-batalla-por-la-sangre-2014-ironclad-battle-for-blood/?parentCategoryId=999.54220013&color=default
Prueba De Vida BD 2000 Proof of Life,"13,69 €",DVD STORE,9 de enero de 2024,"Italiano
Castellano
Inglés","Castellano
Inglés",2000,EEUU,135,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A41463524-prueba-de-vida-bd-2000-proof-of-life/?parentCategoryId=999.54220013&color=default
"Robin Hood, Príncipe De Los Ladrones BLU-RAY 1991 Robin Hood: Prince of Thieves","16,53 €",DVD STORE,9 de enero de 2024,"Alemán
Francés
Castellano
Inglés
Castellano",Inglés,1991,EEUU,138,Para todos los públicos,https://www.elcorteingles.es/cine/A47752085-robin-hood-principe-de-los-ladrones-blu-ray-1991-robin-hood-prince-of-thieves/?parentCategoryId=999.54220013&color=default
Cristóbal Colón: El Descubrimiento BD 1992 Christopher Columbus: The Discovery,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Alemán
Inglés","Portugués
Castellano",1992,Reino Unido,116,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A37758303-cristobal-colon-el-descubrimiento-bd-1992-christopher-columbus-the-discovery/?parentCategoryId=999.54220013&color=default
Buscando Justicia BD 1991 Out for Justice,16 €,DVD STORE,,"Español
Inglés","Español
Alemán
Inglés",1991,EEUU,91,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A34930542-buscando-justicia-bd-1991-out-for-justice/?parentCategoryId=999.54220013&color=default
Eliminators BD 2016,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2016,Reino Unido,94,No recomendada a menores de 16 años,https://www.elcorteingles.es/cine/A45038988-eliminators-bd-2016/?parentCategoryId=999.54220013&color=default
Kill Switch BD 2008,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2008,EEUU,96,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A45038992-kill-switch-bd-2008/?parentCategoryId=999.54220013&color=default
El Rector The Principal,"15,70 €",DVD STORE,9 de enero de 2024,"Castellano
Alemán
Francés
Inglés
Italiano","Francés
Alemán
Italiano
Castellano
Inglés",1987,EEUU,110,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A39167885-el-rector-the-principal/?parentCategoryId=999.54220013&color=default
Los Invasores BLU-RAY 1963 The Long Ships,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Italiano
Alemán
Francés
Inglés","Francés
Alemán
Italiano
Portugués
Castellano
Inglés",1963,Reino Unido,126,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A46616026-los-invasores-blu-ray-1963-the-long-ships/?parentCategoryId=999.54220013&color=default
The Phantom BLU-RAY 1996 The Phantom,"13,69 €",DVD STORE,,"Italiano
Alemán
Francés
Castellano
Portugués
Inglés
Castellano",Inglés,1996,EEUU,100,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A47752086-the-phantom-blu-ray-1996-the-phantom/?parentCategoryId=999.54220013&color=default
Cartouche BD 1962,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Alemán
Francés","Alemán
Italiano
Castellano
Inglés",1962,Francia,116,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A41590316-cartouche-bd-1962/?parentCategoryId=999.54220013&color=default
Águila de Acero III BD 1992 Aces: Iron Eagle III,"13,69 €",DVD STORE,9 de enero de 2024,Español,"Español
Alemán
Portugués
Inglés",1992,EEUU,99,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A44447634-aguila-de-acero-iii-bd-1992-aces-iron-eagle-iii/?parentCategoryId=999.54220013&color=default
Justicia Salvaje BD 1984 The Evil That Men Do,"13,69 €",DVD STORE,,"Inglés
Alemán
Castellano",Castellano,1984,México,90,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A39760270-justicia-salvaje-bd-1984-the-evil-that-men-do/?parentCategoryId=999.54220013&color=default
Caza Humana BD 2013 Killing Season,"16,53 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés","Castellano
Inglés",2013,Bélgica,91,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45397920-caza-humana-bd-2013-killing-season/?parentCategoryId=999.54220013&color=default
Dune,N/A,,19 de abril de 2018,"Castellano
Castellano","Español
Español",,España,,No recomendada a menores de 13 años,https://www.elcorteingles.es/cine/A16735285-dune/?parentCategoryId=999.54220013&color=default
Soldado Silent Trigger,"13,69 €",DVD STORE,9 de enero de 2024,"Castellano
Inglés
Alemán","Castellano
Alemán
Inglés
Español",1996,Canadá,135,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A41463526-soldado-silent-trigger/?parentCategoryId=999.54220013&color=default
Gwendoline Gwendoline,"9,94 €",DVD STORE,9 de enero de 2024,",",,1984,Francia,105,No recomendada a menores de 18 años,https://www.elcorteingles.es/cine/A42043268-gwendoline-gwendoline/?parentCategoryId=999.54220013&color=default
El Burlador de Castilla BD 1948 Adventures of Don Juan,"14,94 €",DVD STORE,9 de enero de 2024,"Castellano
Italiano
Inglés
Alemán
Francés","Francés
Italiano
Portugués
Castellano
Inglés",1948,EEUU,110,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A45397910-el-burlador-de-castilla-bd-1948-adventures-of-don-juan/?parentCategoryId=999.54220013&color=default
Vikingos - La saga de las Nuevas Tierras,"13,69 €",DVD STORE,,Castellano,Inglés,2019,Canadá,50,Para todos los públicos,https://www.elcorteingles.es/cine/MP_0000572_45355-vikingos-la-saga-de-las-nuevas-tierras/?parentCategoryId=999.54220013&color=default
Bd Steelbook El Cascanueces Y Los Cuatro Reinos,"29,40 €",DVD STORE,9 de enero de 2024,Francés,,2018,EEUU,99,No recomendada a menores de 7 años,https://www.elcorteingles.es/cine/A29658046-bd-steelbook-el-cascanueces-y-los-cuatro-reinos/?parentCategoryId=999.54220013&color=default
Capitán América. El soldado de invierno 3D (Blu-Ray + Blu-Ray 3D),N/A,"THE WALT DISNEY COMPANY IBERIA, S.L.",16 de septiembre de 2008,",",,,,,No Disponible,https://www.elcorteingles.es/cine/A12692610-capitan-america-el-soldado-de-invierno-3d-blu-ray--blu-ray-3d/?parentCategoryId=999.54220013&color=default
Águila de Acero BLU RAY 1986 Iron Eagle,"13,69 €",DVD STORE,9 de enero de 2024,"Español
Español","Español
Francés
Alemán
Inglés",1986,EEUU,116,No recomendada a menores de 12 años,https://www.elcorteingles.es/cine/A36884299-aguila-de-acero-blu-ray-1986-iron-eagle/?parentCategoryId=999.54220013&color=default
